cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year,latitude,longitude
02B,02B000004,2B005,ALANDO,02B000002,RESERVOIR ALANDO,100 %,02B00075044,2017-02-02,08h50,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Turbidité hors norme. Eau agressive. La teneur en chlore libre est insuffisante,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,N,C,N,N,2,2017,42.3063333,9.2906225
02B,02B000004,2B005,ALANDO,,,,02B00076000,2017-06-07,09h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,C,C,C,C,6,2017,42.3063333,9.2906225
02B,02B000004,2B005,ALANDO,,,,02B00077718,2017-12-19,08h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,C,C,C,C,12,2017,42.3063333,9.2906225
02B,02B000011,2B023,ASCO,02B000008,RESERVOIR ASCO,100 %,02B00075062,2017-05-10,06h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,5,2017,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,,,,02B00075065,2017-01-30,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,1,2017,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,02B000008,RESERVOIR ASCO,100 %,02B00076021,2017-07-06,06h45,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La teneur en chlore libre est insuffisante Eau faiblement minéralisée,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,7,2017,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,,,,02B00076022,2017-08-08,07h20,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Température hors norme. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,N,C,N,N,8,2017,42.4542774,9.0341777
02B,02B000021,2B003,AITI,02B000018,RESERVOIR AITI,100 %,02B00075042,2017-01-10,09h40,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,1,2017,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00075043,2017-03-23,07h05,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,3,2017,42.3985048,9.2434795
02B,02B000021,2B003,AITI,02B000018,RESERVOIR AITI,100 %,02B00075998,2017-08-17,10h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,8,2017,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00075999,2017-06-15,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,6,2017,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00077717,2017-09-26,07h05,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,9,2017,42.3985048,9.2434795
02B,02B000029,2B235,PIOGGIOLA,02B000026,RESERVOIR PIOGGIOLA,100 %,02B00075499,2017-02-01,10h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,2,2017,42.5369444,8.9978216
02B,02B000029,2B235,PIOGGIOLA,,,,02B00075500,2017-03-06,08h35,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. La teneur en chlore libre est insuffisante Eau faiblement minéralisée,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,3,2017,42.5369444,8.9978216
02B,02B000029,2B235,PIOGGIOLA,02B000026,RESERVOIR PIOGGIOLA,100 %,02B00076448,2017-07-04,08h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. Carbone Organique Total hors norme. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,7,2017,42.5369444,8.9978216
02B,02B000029,2B235,PIOGGIOLA,,,,02B00076449,2017-08-22,06h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,8,2017,42.5369444,8.9978216
02B,02B000029,2B235,PIOGGIOLA,,,,02B00078091,2017-10-05,07h10,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,C,10,2017,42.5369444,8.9978216
02B,02B000038,2B156,MAUSOLEO,02B000037,RESERVOIR MAUSOLEO VILLAGE,100 %,02B00075338,2017-02-01,10h00,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,N,C,N,N,2,2017,42.51990120000001,9.0078483
02B,02B000038,2B156,MAUSOLEO,,,,02B00076258,2017-07-04,08h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,C,7,2017,42.51990120000001,9.0078483
02B,02B000038,2B156,MAUSOLEO,,,,02B00077999,2017-10-05,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,C,10,2017,42.51990120000001,9.0078483
02B,02B000043,2B190,OLMI-CAPPELLA,,,,02B00075414,2017-03-06,08h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,3,2017,42.5287906,9.0193558
