cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year,latitude,longitude
02B,02B000004,2B005,ALANDO,02B000002,RESERVOIR ALANDO,100 %,02B00071547,2016-01-27,09h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,C,C,C,C,1,2016,42.3063333,9.2906225
02B,02B000004,2B005,ALANDO,,,,02B00072565,2016-06-02,08h50,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,C,C,C,C,6,2016,42.3063333,9.2906225
02B,02B000004,2B005,ALANDO,,,,02B00074239,2016-09-29,09h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de bactéries sulfito-réductrices. La teneur en chlore libre est insuffisante,ALANDO,MAIRIE DE ALANDO,MAIRIE DE ALANDO,C,C,N,C,9,2016,42.3063333,9.2906225
02B,02B000011,2B023,ASCO,,,,02B00071568,2016-01-14,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,1,2016,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,02B000008,RESERVOIR ASCO,100 %,02B00072582,2016-06-28,10h50,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,6,2016,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,,,,02B00072584,2016-08-25,07h35,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Température hors norme Eau faiblement minéralisée La teneur en chlore libre est insuffisante,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,8,2016,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,02B000008,RESERVOIR ASCO,100 %,02B00074248,2016-12-14,07h15,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,C,C,C,N,12,2016,42.4542774,9.0341777
02B,02B000011,2B023,ASCO,,,,02B00074250,2016-10-17,06h30,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante Eau faiblement minéralisée,ASCO,MAIRIE DE ASCO,MAIRIE DE ASCO,N,C,N,N,10,2016,42.4542774,9.0341777
02B,02B000021,2B003,AITI,02B000018,RESERVOIR AITI,100 %,02B00071545,2016-02-04,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,2,2016,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00071546,2016-04-20,07h45,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,4,2016,42.3985048,9.2434795
02B,02B000021,2B003,AITI,02B000018,RESERVOIR AITI,100 %,02B00072563,2016-08-18,07h30,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,8,2016,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00072564,2016-06-06,08h10,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante,AITI,MAIRIE DE AITI,MAIRIE DE AITI,N,C,N,C,6,2016,42.3985048,9.2434795
02B,02B000021,2B003,AITI,,,,02B00074238,2016-09-27,08h20,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.,AITI,MAIRIE DE AITI,MAIRIE DE AITI,C,C,C,C,9,2016,42.3985048,9.2434795
02B,02B000029,2B235,PIOGGIOLA,02B000026,RESERVOIR PIOGGIOLA,100 %,02B00072096,2016-02-25,08h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,2,2016,42.5369444,8.9978216
02B,02B000029,2B235,PIOGGIOLA,,,,02B00072097,2016-04-14,06h40,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,4,2016,42.5369444,8.9978216
02B,02B000029,2B235,PIOGGIOLA,02B000026,RESERVOIR PIOGGIOLA,100 %,02B00073174,2016-08-24,08h00,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau agressive. Eau faiblement minéralisée,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,8,2016,42.5369444,8.9978216
02B,02B000029,2B235,PIOGGIOLA,,,,02B00073175,2016-07-25,07h30,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,7,2016,42.5369444,8.9978216
02B,02B000029,2B235,PIOGGIOLA,,,,02B00074608,2016-10-17,07h50,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. La teneur en chlore libre est insuffisante Eau faiblement minéralisée,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,N,C,N,N,10,2016,42.5369444,8.9978216
02B,02B000038,2B156,MAUSOLEO,02B000037,RESERVOIR MAUSOLEO VILLAGE,100 %,02B00072429,2016-02-25,08h30,Eau d'alimentation non-conforme aux exigences de qualité. Présence de germes témoins de contamination fécale. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,N,C,N,N,2,2016,42.5199012,9.0078483
02B,02B000038,2B156,MAUSOLEO,,,,02B00072430,2016-04-14,07h10,Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Eau faiblement minéralisée. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,N,4,2016,42.5199012,9.0078483
02B,02B000038,2B156,MAUSOLEO,,,,02B00072972,2016-08-24,07h00,Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés. La teneur en chlore libre est insuffisante,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,COM COM DE L'ILE ROUSSE-BALAGNE,C,C,C,C,8,2016,42.5199012,9.0078483
