cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim,month,year,latitude,longitude
02A,02A000007,2A141,LETIA,02A000006,UNITE STERILISATION U.V ST-MARTIN,100 %,02A00073989,2016-01-05,09h10,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.  ,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,1,2016,42.1905264,8.8467517
02A,02A000007,2A141,LETIA,,,,02A00074442,2016-04-06,09h55,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes est également à surveiller. ,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,4,2016,42.1905264,8.8467517
02A,02A000007,2A141,LETIA,,,,02A00075572,2016-07-21,10h20,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter qu'une température de l'eau supérieure à 25° peut entrainer des développements bactériens.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,7,2016,42.1905264,8.8467517
02A,02A000007,2A141,LETIA,02A000006,UNITE STERILISATION U.V ST-MARTIN,100 %,02A00076803,2016-10-10,09h40,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,10,2016,42.1905264,8.8467517
02A,02A000007,2A141,LETIA,,,,02A00077170,2016-12-15,11h00,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,12,2016,42.1905264,8.8467517
02A,02A000008,2A141,LETIA,02A002726,UNITE STERILISATION ST-ROCH,100 %,02A00073975,2016-01-05,08h45,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation.  ,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,1,2016,42.1905264,8.8467517
02A,02A000008,2A141,LETIA,,,,02A00074443,2016-04-06,09h30,Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. ,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,4,2016,42.1905264,8.8467517
02A,02A000008,2A141,LETIA,,,,02A00075573,2016-07-21,10h00, Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. ,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,C,N,7,2016,42.1905264,8.8467517
02A,02A000008,2A141,LETIA,02A002726,UNITE STERILISATION ST-ROCH,100 %,02A00076788,2016-10-10,10h20, Eau d'alimentation non-conforme aux exigences de qualité. La présence de germes fécaux impose une surveillance renforcée.,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,N,C,N,N,10,2016,42.1905264,8.8467517
02A,02A000008,2A141,LETIA,,,,02A00077171,2016-12-15,10h45, Eau d'alimentation conforme aux limites de qualité et ne satisfaisant pas aux références de qualité. Il est à noter une faible minéralisation. La présence de germes coliformes est également à surveiller. ,COMMUNE DE LETIA,MAIRIE DE LETIA,MAIRIE DE LETIA,C,C,N,N,12,2016,42.1905264,8.8467517
